Code,lat,lng,Specified Course,Specified Duration,Destination Name,Destination Identified,Calculated Lat,Calculated Lng,Fitted Course,Fitted Distance,Course Error,Dist Error Factor
dongtou-fuying,27.601663,121.466169,217.5°,2.4 hours,Nanji Island,,,,,,,
dongtou-fuying,27.4303,121.3181,225.0°,7.2 hours,Taishan Island,,,,,,,
dongtou-fuying,26.9714,120.8043,,,Through channel,,,,,,,
,,,217.5°,7.2 hours,Nanshuang & Beishuang,,,,,,,
dongtou-fuying,26.7143,120.5836,217.5°,4.8 hours,,,,,,,,
dongtou-fuying,26.5142,120.4127,,,,,,,,,,
xiyang-beijiao,26.5100,120.4100,232.5°,2.4 hours,,,,,,,,
xiyang-beijiao,26.4223,120.2825,225.0°,2.4 hours,Beijiao,,,,,,,
xiyang-beijiao,26.3205,120.1690,,,,,,,,,,
beiji-huangwan,27.6439,121.1213,247.5°,2.4 hours,Phoenix & Nanji,,,,,,,
beiji-huangwan,27.6026,121.0088,217.5°,7.2 hours,Taishan,,,,,,,
beiji-huangwan,27.0595,120.5415,217.5°,7.2 hours,Nanshaung,,,,,,,
beiji-huangwan,26.6744,120.1878,217.5°,4.8 hours,Fuying,,,,,,,
beiji-huangwan,26.5888,120.1143,,,Through Channel?,,,,,,,
beiji-huangwan,26.57533,119.99476,202.5°,2.4 hours,Huangwan,,,,,,,
beiji-huangwan,26.5088,119.9640,,,,,,,,,,
huangwan-dinghai,26.4574,119.9727,187.5°,2.4 hours,Beijiao Channel,,,,,,,
huangwan-dinghai,26.35037,119.95699,,,Dinghai,,,,,,,
huangwan-dinghai,26.31452,119.91082,,,,,,,,,,
huangwan-dinghai,26.30913,119.88249,,,,,,,,,,
huangwan-dinghai,26.24864,119.80421,,,,,,,,,,
huangwan-dinghai,26.1664,119.73761,,,,,,,,,,
around-wuhushan,26.16,119.73,,,,,,,,,,
around-wuhushan,26.10392,119.68293,,,,,,,,,,
around-wuhushan,26.10399,119.66216,,,,,,,,,,
around-wuhushan,26.13081,119.63392,,,,,,,,,,
wuhu-niushan,26.179498,119.770898,112.5°,,outside Jixingjiao,,,,,,,
wuhu-niushan,26.09706,119.99313,157.5°,,Juguang ,,,,,,,
wuhu-niushan,25.9641,120.0544,150.0°,7.2 hours,Niushan,,,,,,,
wuhu-niushan,25.6836,120.2340,,,,,,,,,,
aceh-kepulauanarwah,5.1919,97.15819,37.5°,6.0 hours,,,,,,,,
aceh-kepulauanarwah,5.3631,97.2902,112.5°,6.0 hours,Meunasah Asan,,,,,,,
aceh-kepulauanarwah,5.2805,97.4905,127.5°,12.0 hours,Kuala Langsa,,,,,,,
aceh-kepulauanarwah,4.7051,98.2423,127.5°,36.0 hours,Aru ,,,,,,,
aceh-kepulauanarwah,4.1839,98.9214,112.5°,12.0 hours,Pulau Berhala,,,,,,,
aceh-kepulauanarwah,3.942747,99.504462,127.5°,9.6 hours,The Brothers,,,,,,,
aceh-kepulauanarwah,3.668899,99.861981,135.0°,18.0 hours,,,,,,,,
aceh-kepulauanarwah,2.937218,100.594325,127.5°,18.0 hours,Kepulauan Arwah,,,,,,,
aceh-kepulauanarwah,,,,,,,,,,,,
kepulauanarwah-malacca,2.94,100.594325,120.0°,3.6 hours,,,,,,,,
kepulauanarwah-malacca,2.80506,100.828287,112.5°,3.6 hours,Amazon Maru Shoal,,,,,,,
kepulauanarwah-malacca,2.701773,101.077857,112.5°,3.6 hours,,,,,,,,
kepulauanarwah-malacca,2.615662,101.2858,120.0°,3.6 hours,Bukit Jugra,,,,,,,
